Type,Part Number,Brand,Model,Rank,Benchmark,Samples,Difference from 570
GPU,STRIX-GTX960-DC2OC-4GD5,Asus,ASUS GTX 960 4GB STRIX,142,33.6,418450,-2759%
GPU,04G-P4-3969-KR,EVGA,EVGA GTX 960 4GB FTW GAMING ACX 2.0+,142,33.6,418450,-2759%
GPU,,AMD,R9 285,143,32.8,5935,-2931%
GPU,R9 285 GAMING 2G,MSI,MSI R9 285 2GB GAMING,143,32.8,5935,-2931%
GPU,11235-03-20G,Sapphire,Sapphire R9 285 2GB Dual-X OC,143,32.8,5935,-2931%
GPU,AXR9 285 2GBD5-TDHE,PowerColor,PowerColor R9 285 2GB Turbo Duo,143,32.8,5935,-2931%
GPU,,AMD,R9 280,144,32,42793,-3103%
GPU,11230-00-20G,Sapphire,Sapphire R9 280 3GB Dual-X,144,32,42793,-3103%
GPU,R9280ATDFD,XFX,XFX R9 280 3GB Double Dissipation,144,32,42793,-3103%
GPU,R9280ATDBD,XFX,XFX R9 280 3GB Double Dissipation Black,144,32,42793,-3103%
GPU,,Nvidia,Quadro K5200,145,32,1611,-3103%
GPU,,Nvidia,GTX 970M,146,31.8,25299,-3147%
GPU,,Nvidia,Quadro M4000,147,31.6,8869,-3190%
GPU,,Nvidia,GTX 1050-Ti,148,30.9,1036829,-3341%
GPU,04G-P4-6253-KR,EVGA,EVGA GTX 1050 Ti 4GB SC Single Fan,148,30.9,1036829,-3341%
GPU,04G-P4-6251-KR,EVGA,EVGA GTX 1050 Ti 4GB Gaming Single Fan,148,30.9,1036829,-3341%
GPU,04G-P4-6255-KR,EVGA,EVGA GTX 1050 Ti 4GB SSC GAMING ACX 3.0,148,30.9,1036829,-3341%
GPU,GTX 1050 TI 4G OC,MSI,MSI GTX 1050 Ti 4GB OC,148,30.9,1036829,-3341%
GPU,GTX 1050 TI 4GT OC,MSI,MSI GTX 1050 Ti 4GB OC Twin,148,30.9,1036829,-3341%
GPU,GV-N105TOC-4GD,Gigabyte,Gigabyte GTX 1050 Ti 4GB OC,148,30.9,1036829,-3341%
GPU,ZT-P10510A-10L,Zotac,Zotac GTX 1050 Ti 4GB Mini,148,30.9,1036829,-3341%
GPU,ZT-P10510B-10L,Zotac,Zotac GTX 1050 Ti 4GB Twin,148,30.9,1036829,-3341%
GPU, GV-N105TWF2OC-4GD,Gigabyte,Gigabyte GTX 1050 Ti 4GB Twin,148,30.9,1036829,-3341%
GPU,GeForce GTX 1050 TI GAMING X 4G,MSI,MSI GTX 1050 Ti 4GB GAMING X,148,30.9,1036829,-3341%
GPU,EX-GTX1050TI-4G,Asus,Asus GTX 1050 Ti 4GB Expedition,148,30.9,1036829,-3341%
GPU,STRIX-GTX1050TI-O4G-GAMING,Asus,Asus GTX 1050 Ti 4GB ROG STRIX,148,30.9,1036829,-3341%
GPU,04G-P4-6258-KR,EVGA,EVGA GTX 1050 Ti 4GB FTW GAMING ACX 3.0,148,30.9,1036829,-3341%
GPU,GV-N105TD5-4GD,Gigabyte,Gigabyte GTX 1050 Ti 4GB 1430 MHz,148,30.9,1036829,-3341%
GPU,GV-N105TG1GAMING-4GD,Gigabyte,Gigabyte GTX 1050 Ti 4GB G1 GAMING,148,30.9,1036829,-3341%
GPU,VCGGTX1050T4PB,PNY,PNY GTX 1050 Ti 4GB Single,148,30.9,1036829,-3341%
GPU,Cerberus-GTX1050Ti-O4G,Asus,Asus GTX 1050 Ti 4GB Cerberus OC,148,30.9,1036829,-3341%
GPU,GV-N105TOC-4GL,Gigabyte,Gigabyte GTX 1050 Ti 4GB OC Low Profile,148,30.9,1036829,-3341%
GPU,,AMD,HD 7950,149,30.8,35121,-3362%
GPU,,Nvidia,GTX 1050-Ti (Mobile),150,30.7,113256,-3384%
GPU,,Nvidia,GTX 670,151,29.2,51475,-3707%
GPU,,Nvidia,GTX 880M,152,28.3,2248,-3901%
GPU,,Nvidia,GTX 760,153,27.8,158023,-4009%
GPU,,Nvidia,GTX 660-Ti,154,27.7,42078,-4030%
GPU,,AMD,R9 270X,155,27.5,78439,-4073%
GPU,11217-01-20G,Sapphire,Sapphire R9 270X 2GB Dual-X Boost OC,155,27.5,78439,-4073%
GPU,11217-04-20G,Sapphire,Sapphire R9 270X 4GB Dual-X Boost OC,155,27.5,78439,-4073%
GPU,GV-R927XOC-2GD,Gigabyte,Gigabyte R9 270X 2GB WINDFORCE,155,27.5,78439,-4073%
GPU,GV-R927XOC-4GD,Gigabyte,Gigabyte R9 270X 4GB WINDFORCE,155,27.5,78439,-4073%
GPU,R9270X-DC2T-2GD5,Asus,Asus R9 270X 2GB DirectCU II,155,27.5,78439,-4073%
GPU,,Nvidia,GTX 760 Ti OEM,156,27.2,1814,-4138%
GPU,,Nvidia,GTX 1050,157,27,254118,-4181%
GPU,ZT-P10500A-10L,Zotac,Zotac GTX 1050 2GB Mini,157,27,254118,-4181%
GPU,GTX 1050 2G OC,MSI,MSI GTX 1050 2GB OC,157,27,254118,-4181%
GPU,GTX 1050 2GT OC,MSI,MSI GTX 1050 2GB TWIN OC,157,27,254118,-4181%
GPU,GTX 1050 GAMING X 2G,MSI,MSI GTX 1050 2GB GAMING X,157,27,254118,-4181%
GPU,GV-N1050OC-2GD,Gigabyte,Gigabyte GTX 1050 2GB OC,157,27,254118,-4181%
GPU,02G-P4-6152-KR,EVGA,EVGA GTX 1050 2GB SC GAMING,157,27,254118,-4181%
GPU,GV-N1050D5-2GD,Gigabyte,Gigabyte GTX 1050 2GB OC Single,157,27,254118,-4181%
GPU,GV-N1050WF2OC-2GD,Gigabyte,Gigabyte GTX 1050 2GB Windforce,157,27,254118,-4181%
GPU,EX-GTX1050-2G,Asus,Asus GTX 1050 2GB Expedition,157,27,254118,-4181%
GPU,02G-P4-6154-KR,EVGA,EVGA GTX 1050 2GB SSC GAMING,157,27,254118,-4181%
GPU,VCGGTX10502PB,PNY,PNY GTX 1050 2GB,157,27,254118,-4181%
GPU,02G-P4-6150-KR,EVGA,EVGA GTX 1050 2GB GAMING,157,27,254118,-4181%
GPU,PH-GTX1050-2G,Asus,Asus GTX 1050 2GB Phoenix,157,27,254118,-4181%
GPU,,AMD,HD 7870,158,26.6,41044,-4267%
GPU,,Nvidia,GTX 1630,159,26.4,102,-4310%
GPU,,Nvidia,GTX 1050-Ti (Mobile Max-Q),160,26.4,10799,-4310%
GPU,,Nvidia,GTX 950,161,26,119522,-4397%
GPU,ZT-90601-10L,Zotac,Zotac GTX 950 2GB,161,26,119522,-4397%
GPU,ZT-90602-10M,Zotac,Zotac GTX 950 2GB OC,161,26,119522,-4397%
GPU,ZT-90603-10M,Zotac,Zotac GTX 950 2GB AMP!,161,26,119522,-4397%
GPU,02G-P4-2951-KR,EVGA,EVGA GTX 950 2GB SC,161,26,119522,-4397%
GPU,02G-P4-2958-KR,EVGA,EVGA GeForce GTX 950 2GB ACX 2.0,161,26,119522,-4397%
GPU,02G-P4-2957-KR,EVGA,EVGA GTX 950 2GB SSC ACX,161,26,119522,-4397%
GPU,STRIX-GTX950-DC2OC-2GD5-GAMING,Asus,Asus GTX 950 2GB STRIX GAMING,161,26,119522,-4397%
GPU,GV-N950WF2OC-2GD,Gigabyte,Gigabyte GTX 950 2GB Windforce,161,26,119522,-4397%
GPU,GTX 950 GAMING 2G,MSI,MSI GTX 950 2GB GAMING,161,26,119522,-4397%
GPU,GTX 950 2GD5 OC,MSI,MSI GTX 950 2GB OC,161,26,119522,-4397%
GPU,GV-N950XTREME-2GD,Gigabyte,Gigabyte GTX 950 2GB XTREME,161,26,119522,-4397%
GPU,,AMD,Radeon RX Vega M GL,162,25.1,1514,-4591%
GPU,,Nvidia,GTX 1050 (Mobile),163,24.9,165406,-4634%
GPU,,Nvidia,GTX 780M,164,24.9,3942,-4634%
GPU,,Nvidia,Quadro P1000,165,24.6,7154,-4698%
GPU,,Nvidia,GeForce GTX 590 (SLI Disabled),166,24.4,1221,-4741%
GPU,,AMD,R9 270,167,24.4,48522,-4741%
GPU,R9270-DC2OC-2GD5,Asus,ASUS R9 270 2GB Direct CU II OC,167,24.4,48522,-4741%
GPU,11220-00-20G,Sapphire,Sapphire R9 270 2GB Dual-X Boost OC,167,24.4,48522,-4741%
GPU,GV-R927OC-2GD,Gigabyte,Gigabyte R9 270 2GB OC,167,24.4,48522,-4741%
GPU,,Nvidia,GTX 965M,168,23.8,3836,-4871%
GPU,,Nvidia,GTX 870M,169,23.6,3072,-4914%
GPU,,AMD,FirePro W7000,170,22.9,72,-5065%
GPU,,Parallels,Display Adapter (WDDM),171,22.7,1991,-5108%
GPU,,AMD,RX 560,172,22.6,54540,-5129%
GPU,RX 560 AERO ITX 4G OC,MSI,MSI RX 560 4GB Aero ITX,172,22.6,54540,-5129%
GPU,,Nvidia,GTX 680MX,173,22.5,274,-5151%
GPU,,Nvidia,Quadro K5100M,174,22.3,625,-5194%
GPU,,Nvidia,Quadro K5000,175,22.1,3576,-5237%
GPU,,Nvidia,Quadro K4200,176,21.9,7021,-5280%
GPU,,Nvidia,GTX 775M,177,21.9,469,-5280%
GPU,,Nvidia,Quadro M2000,178,21.6,5564,-5345%
GPU,,Nvidia,GTX 580,179,21.5,15137,-5366%
GPU,,Nvidia,GTX 660,180,21.1,123681,-5453%
GPU,,AMD,R9 M290X,181,21,1451,-5474%
GPU,,Nvidia,GTX 760 (192-bit),182,20.9,10718,-5496%
GPU,,AMD,R7 370,183,20.9,37684,-5496%
GPU,R7 370 GAMING 4G,MSI,MSI R7 370 4GB Gaming,183,20.9,37684,-5496%
GPU,R7 370 GAMING 2G,MSI,MSI R7 370 2GB Gaming,183,20.9,37684,-5496%
GPU,GV-R737WF2OC-2GD,Gigabyte,Gigabyte AMD R7 370 2GB,183,20.9,37684,-5496%
GPU,11240-06-20G,Sapphire,Sapphire R7 370 2GB Dual-X OC ,183,20.9,37684,-5496%
GPU,11240-04-20G,Sapphire,Sapphire R7 370 4GB NITRO Dual-X OC,183,20.9,37684,-5496%
GPU,STRIX-R7370-DC2OC-2GD5-GAMING,Asus,ASUS R7 370 2GB STRIX OC,183,20.9,37684,-5496%
GPU,STRIX-R7370-DC2OC-4GD5-GAMING,Asus,ASUS R7 370 4GB STRIX OC,183,20.9,37684,-5496%
GPU,R7-370P-2SF5,XFX,XFX R7 370 2GB 2SF5,183,20.9,37684,-5496%
GPU,,AMD,HD 6970,184,20.7,9260,-5539%
GPU,,AMD,Radeon HD 7970M,185,20.6,945,-5560%
GPU,,AMD,HD 6990 (Crossfire Disabled),186,20.5,1179,-5582%
GPU,,Microsoft,RemoteFX Graphics Device - WDDM,187,20.3,123,-5625%
GPU,,AMD,RX 460,188,20.1,63867,-5668%
GPU,GV-RX460WF2OC-4GD,Gigabyte,Gigabyte RX 460 4GB Windforce OC,188,20.1,63867,-5668%
GPU, GV-RX460WF2OC-2GD,Gigabyte,Gigabyte RX 460 2GB Windforce OC,188,20.1,63867,-5668%
GPU,STRIX-RX460-O4G-GAMING,Asus,Asus RX 460 4GB ROG STRIX OC,188,20.1,63867,-5668%
GPU,GV-RX460WF2OC-2GD,Gigabyte,Gigabyte RX 460 2GB Windforce OC,188,20.1,63867,-5668%
GPU,AXRX 460 2GBD5-DH/OC,PowerColor,PowerColor RX 460 2GB Red Dragon,188,20.1,63867,-5668%
GPU,11257-02-20G,Sapphire,Sapphire RX 460 4GB Nitro,188,20.1,63867,-5668%
GPU,100409-2GOCL,Sapphire,Sapphire RX 460 2GB 1210 MHz,188,20.1,63867,-5668%
GPU,11257-00-20G,Sapphire,Sapphire RX 460 2GB 1090 MHz,188,20.1,63867,-5668%
GPU,RX-460P4DFG5,XFX,XFX RX 460 2GB,188,20.1,63867,-5668%
GPU,RX-460P2SFG5,XFX,XFX RX 460 2GB,188,20.1,63867,-5668%
GPU,RX-460P4SFG5,XFX,XFX RX 460 4GB SF,188,20.1,63867,-5668%
GPU,GV-RX460WF2OC-4GD,Gigabyte,Gigabyte RX 460 4GB Windforce 2x,188,20.1,63867,-5668%
GPU,DUAL-RX460-O2G,Asus,Asus RX 460 2GB Dual Fan OC,188,20.1,63867,-5668%
GPU,Radeon RX 460 2G OC,MSI,MSI RX 460 2GB 2G OC,188,20.1,63867,-5668%
GPU,,AMD,HD 7790,189,20,8709,-5690%
GPU,,AMD,Radeon RX 560-B,190,19.9,51851,-5711%
GPU,,AMD,R9 M290,191,19.9,89,-5711%
GPU,,AMD,R7 260X,192,19.8,35850,-5733%
GPU,11222-22-20G,Sapphire,SAPPHIRE R7 260X 2GB OC 2x DVI,192,19.8,35850,-5733%
GPU,11222-06-20G,Sapphire,SAPPHIRE R7 260X 2GB OC,192,19.8,35850,-5733%
GPU,R7260XCNF4,XFX,XFX 260X 2GB,192,19.8,35850,-5733%
GPU,R7 260X 2GD5 OC,MSI,MSI R7 260X 2GB OC,192,19.8,35850,-5733%
GPU,,AMD,R7 265,193,19.7,9117,-5754%
GPU,11232-00-20G,Sapphire,Sapphire R7 265 2GB Dual-X ,193,19.7,9117,-5754%
GPU,R7 265 2GD5 OC,MSI,MSI R7 265 2GB OC,193,19.7,9117,-5754%
GPU,,Nvidia,GTX 680M,194,19.4,1304,-5819%
GPU,,AMD,HD 5870,195,19.4,10554,-5819%
GPU,,Nvidia,GeForce MX350,196,19.2,2441,-5862%
GPU,,AMD,HD 6950,197,19.2,23478,-5862%
GPU,,Nvidia,GTX 570,198,19.1,21326,-5884%
GPU,,AMD,HD 7850,199,19,51352,-5905%
GPU,,Nvidia,GTX 480,200,18.7,3923,-5970%
GPU,,Vmware,SVGA 3D,201,18.4,9594,-6034%
GPU,,Nvidia,GTX 750-Ti,202,18.2,293396,-6078%
GPU,02G-P4-3753-KR,EVGA,EVGA GTX 750 Ti 2GB SC,202,18.2,293396,-6078%
GPU,GTX750TI-OC-2GD5,Asus,ASUS GTX 750 Ti 2GB OC,202,18.2,293396,-6078%
GPU,N750TI-2GD5TLP,MSI,MSI GTX 750 Ti 2GB,202,18.2,293396,-6078%
GPU,N750TI TF 2GD5/OC,MSI,MSI GTX 750 Ti 2GB Gaming,202,18.2,293396,-6078%
GPU,02G-P4-3751-KR,EVGA,EVGA GTX 750 Ti 2GB,202,18.2,293396,-6078%
GPU,02G-P4-3757-KR,EVGA,EVGA GTX 750 Ti 2GB FTW,202,18.2,293396,-6078%
GPU,GV-N75TOC2-2GI,Gigabyte,Gigabyte GTX 750 Ti 2GB OC 2,202,18.2,293396,-6078%
GPU,GV-N75TOC-1GI,Gigabyte,Gigabyte GTX 750 Ti 2GB,202,18.2,293396,-6078%
GPU,,Nvidia,GTX 650 Ti Boost,203,18.1,15557,-6099%
GPU,,Nvidia,GTX 560 Ti (448 Core LE),204,18,2151,-6121%
GPU,,Nvidia,GTX 960M,205,17.7,68656,-6185%
GPU,,AMD,R7 360,206,17.5,22942,-6228%
GPU,R7 360 2GD5 OC,MSI,MSI R7 360 2G OC,206,17.5,22942,-6228%
GPU,11243-00-20G,Sapphire,Sapphire R7 360 2GB OC,206,17.5,22942,-6228%
GPU,11243-05-20G,Sapphire,Sapphire R7 360 2GB NITRO,206,17.5,22942,-6228%
GPU,GV-R736OC-2GD,Gigabyte,Gigabyte R7 360 2GB,206,17.5,22942,-6228%
GPU,GV-R736OC-2GD REV2.0,Gigabyte,Gigabyte R7 360 2GB V2,206,17.5,22942,-6228%
GPU,R7-360P-2SF5,XFX,XFX R7 360 2GB 360P,206,17.5,22942,-6228%
GPU,R7360-OC-2GD5-V2,Asus,Asus R7 360 2GB OC V2,206,17.5,22942,-6228%
GPU,,AMD,RX Vega 8 5000 (iGPU),207,17.4,106171,-6250%
GPU,,Nvidia,Quadro K2200,208,17.3,15507,-6272%
GPU,,Nvidia,GTX 770M,209,17.2,6278,-6293%
GPU,,Nvidia,GTX 560 Ti,210,17.1,41708,-6315%
GPU,,AMD,Radeon HD 8950,211,16.7,602,-6401%
GPU,,AMD,HD 5970 (Crossfire Disabled),212,16.6,1619,-6422%
GPU,,AMD,FirePro M6100 (FireGL V),213,16.5,239,-6444%
GPU,,Nvidia,Quadro K5000M,214,16.4,345,-6466%
GPU,,Intel,Iris Xe DG1,215,16.3,94,-6487%
GPU,,Nvidia,GTX 860M,216,16.3,19551,-6487%
GPU,,Intel,Iris Xe,217,16.2,132339,-6509%
GPU,,AMD,RX Vega 11 (Ryzen iGPU),218,16.1,47970,-6530%
GPU,,Nvidia,GTX 675MX,219,16,567,-6552%
GPU,,Nvidia,GTX 650-Ti,220,15.5,26520,-6659%
GPU,,Nvidia,GeForce GTX 470,221,15.5,5279,-6659%
GPU,,AMD,HD 5850,222,15.4,14623,-6681%
GPU,,Nvidia,GTX 850M,223,15.2,13563,-6724%
GPU,,Nvidia,GTX 750,224,15.2,73531,-6724%
GPU,01G-P4-2751-KR,EVGA,EVGA GTX 750 1GB Dual-Link,224,15.2,73531,-6724%
GPU,01G-P4-2753-KR,EVGA,EVGA GTX 750 1GB Dual-Link SC,224,15.2,73531,-6724%
GPU,,AMD,HD 6870,225,15.1,26218,-6746%
GPU,,Nvidia,GTX 950M,226,14.9,38138,-6789%
GPU,,Nvidia,MX150-0,227,14.7,32403,-6832%
GPU,,Nvidia,GeForce MX250,228,14.5,9648,-6875%
GPU,,Nvidia,GT 1030,229,14.4,171815,-6897%
GPU,,Nvidia,GTX 460 v2,230,14.3,669,-6918%
GPU,,Nvidia,GTX 560 Ti-OEM,231,14.3,1432,-6918%
GPU,,Nvidia,GTX 560,232,14.2,28403,-6940%
GPU,,Nvidia,GTX 765M,233,14.1,6997,-6961%
GPU,,Nvidia,Quadro 6000,234,13.6,1446,-7069%
GPU,,Nvidia,Quadro K1200,235,13.4,3830,-7112%
GPU,,Nvidia,GeForce GTX 580M,236,13.3,406,-7134%
GPU,,AMD,RX 550,237,13.3,82224,-7134%
GPU,,Nvidia,GTX 675M,238,13.3,989,-7134%
GPU,,Nvidia,Quadro K4000,239,13.1,10288,-7177%
GPU,,AMD,HD 5830,240,13,2683,-7198%
GPU,,AMD,HD 7770,241,12.7,39258,-7263%
GPU,,AMD,FirePro V7900 (FireGL V),242,12.6,569,-7284%
GPU,,AMD,RX Vega 8 4000 (iGPU),243,12.6,151972,-7284%
GPU,,Nvidia,GTX 460,244,12.5,30678,-7306%
GPU,,AMD,Radeon HD 8760,245,12.4,200,-7328%
GPU,,Intel,Iris Pro 580 (Mobile Skylake),246,12.3,768,-7349%
GPU,,Nvidia,Quadro K4000M,247,12.2,619,-7371%
GPU,,Nvidia,GTX 670MX,248,12.1,2241,-7392%
GPU,,AMD,R7 250X,249,12.1,11727,-7392%
GPU,,Nvidia,GeForce GTX 555,250,11.9,733,-7435%
GPU,,Nvidia,GTX 465,251,11.9,1411,-7435%
GPU,,AMD,HD 6850,252,11.7,28053,-7478%
GPU,,Nvidia,Quadro K3100M,253,11.6,2810,-7500%
GPU,,Nvidia,GTX 760M,254,11.6,1741,-7500%
GPU,,Nvidia,GeForce GTX 485M,255,11.4,60,-7543%
GPU,,Nvidia,GeForce GTX 560 SE,256,11.4,1766,-7543%
GPU,,Nvidia,GeForce GTX 295 (SLI Disabled),257,11.2,1051,-7586%
GPU,,AMD,RX Vega 10 (Ryzen iGPU),258,10.9,544,-7651%
GPU,,Nvidia,MX150-2,259,10.9,5244,-7651%
GPU,,Nvidia,Quadro K620,260,10.8,17040,-7672%
GPU,,ATI,Radeon HD 5700,261,10.8,22,-7672%
GPU,,Intel,Iris Plus G7,262,10.6,45035,-7716%
GPU,,AMD,HD 5770,263,10.5,36331,-7737%
GPU,,Nvidia,GeForce MX230,264,10.5,6515,-7737%
GPU,,AMD,RX Vega 8 (Ryzen iGPU),265,10.5,92651,-7737%
GPU,,Nvidia,GTX 670M,266,10.4,2952,-7759%
GPU,,AMD,R9 M370X,267,10.3,1100,-7780%
GPU,,AMD,Radeon HD 6770,268,10.3,16498,-7780%
GPU,,Nvidia,GTX 460 SE,269,10.3,3139,-7780%
GPU,,AMD,HD 6790,270,10.3,3983,-7780%
GPU,,AMD,HD 6970M,271,10.1,1549,-7823%
GPU,,ATI,HD 4890,272,10.1,127,-7823%
GPU,,Asus,EAH6770,273,10.1,105,-7823%
GPU,,AMD,FirePro M6000,274,10.1,235,-7823%
GPU,,Nvidia,GTX 745 (OEM),275,9.97,27178,-7851%
GPU,,Nvidia,GeForce GTX 645,276,9.95,4970,-7856%
GPU,,Nvidia,MX130,277,9.94,14793,-7858%
GPU,,Nvidia,GTX 940M,278,9.89,15019,-7869%
GPU,,AMD,Radeon 540,279,9.84,167,-7879%
GPU,,Nvidia,940MX,280,9.76,38717,-7897%
GPU,,Nvidia,GeForce GTX 285,281,9.76,2859,-7897%
GPU,,Nvidia,Quadro 5000,282,9.75,2778,-7899%
GPU,,Nvidia,GeForce GT 755M,283,9.65,3574,-7920%
GPU,,Nvidia,GeForce GTX 570M,284,9.64,635,-7922%
GPU,,AMD,FirePro M5100 (FireGL V),285,9.55,345,-7942%
GPU,,Nvidia,GeForce 840M,286,9.54,20101,-7944%
GPU,,Intel,Iris Pro HD 6200 (Desktop),287,9.47,1175,-7959%
GPU,,AMD,FirePro M8900,288,9.46,199,-7961%
GPU,,Nvidia,GTX 275,289,9.45,3119,-7963%
GPU,,Nvidia,GTX 550-Ti,290,9.07,55322,-8045%
GPU,,AMD,Radeon HD 7800M,291,9.01,505,-8058%
GPU,,Intel, Iris Plus 650 (Mobile Kaby Lake),292,8.77,1680,-8110%
GPU,,Nvidia,GeForce GTX 280,293,8.77,1426,-8110%
GPU,,Nvidia,GTX 650,294,8.68,71560,-8129%
GPU,,ATI,FirePro V5800 (FireGL V),295,8.64,437,-8138%
GPU,,ATI,HD 4870,296,8.64,21547,-8138%
GPU,,Nvidia,930MX,297,8.58,6951,-8151%
GPU,,Intel,Iris 550 (Mobile Skylake),298,8.54,755,-8159%
GPU,,AMD,Mobility Radeon HD 5870,299,8.49,2962,-8170%
GPU,,Nvidia,Quadro FX 5800,300,8.43,789,-8183%
GPU,,Nvidia,GeForce GT 750M,301,8.37,13906,-8196%
GPU,,Nvidia,GeForce GTX 480M,302,8.3,34,-8211%
GPU,,AMD,R7 250,303,8.29,24901,-8213%
GPU,,Nvidia,Quadro 4000M,304,8.23,1126,-8226%
GPU,,AMD,HD 5750,305,8.15,12238,-8244%
GPU,,Intel,UHD Graphics 770,306,8.05,12269,-8265%
GPU,,AMD,R7 250E,307,8.02,10450,-8272%
GPU,,Intel,Iris Plus 640 (Mobile Kaby Lake),308,7.99,8474,-8278%
GPU,,Nvidia,GeForce GT 740,309,7.92,30040,-8293%
GPU,,ATI,Radeon HD 4850,310,7.91,1024,-8295%
GPU,,AMD,Radeon HD 6700,311,7.87,4322,-8304%
GPU,,ATI,Radeon HD 4850-X2,312,7.85,100,-8308%
GPU,,Nvidia,Quadro K3000M,313,7.84,2291,-8310%
GPU,,AMD,HD 7750,314,7.75,23065,-8330%
GPU,,Nvidia,GeForce 9800 GTX,315,7.66,3950,-8349%
GPU,,Nvidia,GeForce GTS 450,316,7.65,29414,-8351%
GPU,,Nvidia,Quadro K2000,317,7.6,12465,-8362%
GPU,,Nvidia,GTX 660M,318,7.6,7312,-8362%
GPU,,Nvidia,GeForce GT 745M,319,7.57,1220,-8369%
GPU,,Nvidia,GeForce GTX 560M,320,7.54,6242,-8375%
GPU,,Nvidia,GTX 260,321,7.52,12176,-8379%
GPU,,Nvidia,Quadro K2100M,322,7.44,6446,-8397%
GPU,,ATI,Radeon HD 4800,323,7.31,119,-8425%
GPU,,AMD,RX Vega 6 (Ryzen iGPU),324,7.31,2334,-8425%
GPU,,Nvidia,GeForce GTX 460M,325,7.23,3999,-8442%
GPU,,Intel,UHD Graphics 750,326,7.22,13508,-8444%
GPU,,Nvidia,GeForce GTS 250,327,7.12,14498,-8466%
GPU,,ATI,Radeon HD 4770,328,7.12,1513,-8466%
GPU,,AMD,Radeon HD 7700M,329,7.09,691,-8472%
GPU,,Nvidia,GeForce 8800 GTS-512,330,7.09,1281,-8472%
GPU,,Intel,Iris Plus G4,331,7.08,9520,-8474%
GPU,,AMD,FirePro M4000,332,6.99,1459,-8494%
GPU,,Nvidia,GeForce GT 640,333,6.99,34672,-8494%
GPU,,Intel,Iris 540 (Mobile Skylake),334,6.99,4691,-8494%
GPU,,AMD,Mobility Radeon HD 5850,335,6.93,1222,-8506%
GPU,,Nvidia,Quadro FX 3800M,336,6.9,383,-8513%
GPU,,Nvidia,GeForce GT 650M,337,6.85,13302,-8524%
GPU,,Nvidia,Quadro 4000,338,6.79,14231,-8537%
GPU,,Nvidia,GeForce 830M,339,6.69,1247,-8558%
GPU,,AMD,Radeon R7 Graphics,340,6.58,25018,-8582%
GPU,,Nvidia,Quadro FX 3800,341,6.55,3682,-8588%
GPU,,ATI,FirePro M7740,342,6.53,218,-8593%
GPU,,AMD,Radeon  530,343,6.5,3134,-8599%
GPU,,Nvidia,GeForce GTS 240,344,6.49,1065,-8601%
GPU,,Nvidia,GeForce GTX 285M,345,6.47,127,-8606%
GPU,,AMD,Radeon HD 8570,346,6.4,3519,-8621%
GPU,,Nvidia,GeForce GTX 280M,347,6.38,161,-8625%
GPU,,AMD,FirePro V4900,348,6.33,2151,-8636%
GPU,,Intel,Iris Pro HD 6100 (Mobile),349,6.3,5611,-8642%
GPU,,Nvidia,MX110,350,6.3,7212,-8642%
GPU,,AMD,HD 7730,351,6.28,3147,-8647%
GPU,,Nvidia,GeForce 8800 Ultra,352,6.23,122,-8657%
GPU,,Nvidia,Quadro 2000,353,6.13,15764,-8679%
GPU,,Nvidia,GeForce 8800 GT,354,6.13,5635,-8679%
GPU,,Nvidia,GeForce GT 740M,355,6.12,16052,-8681%
GPU,,AMD,FirePro V5900 (FireGL V),356,6.1,1609,-8685%
GPU,,Nvidia,GeForce GT 635,357,5.99,3561,-8709%
GPU,,Nvidia,920MX,358,5.93,8274,-8722%
GPU,,Intel,HD 6000 (Mobile),359,5.91,4967,-8726%
GPU,,Nvidia,Quadro K2000M,360,5.88,4220,-8733%
GPU,,AMD,Radeon HD 6670,361,5.83,33247,-8744%
GPU,,Nvidia,GeForce GT 545,362,5.7,2950,-8772%
GPU,,Nvidia,GeForce 8800 GTX,363,5.67,1488,-8778%
GPU,,Intel,UHD Graphics 730,364,5.65,9721,-8782%
GPU,,Nvidia,Quadro K1100M,365,5.64,4953,-8784%
GPU,,AMD,Radeon HD 8650G,366,5.64,3368,-8784%
GPU,,Nvidia,Quadro 3000M,367,5.62,2505,-8789%
GPU,,Nvidia,Quadro FX 3700M,368,5.6,383,-8793%
GPU,,AMD,R7 240,369,5.56,56184,-8802%
GPU,,Nvidia,GeForce 9800 GT,370,5.55,18811,-8804%
GPU,,AMD,Radeon HD 6730M,371,5.51,118,-8813%
GPU,,AMD,Radeon  HD 6770M,372,5.43,676,-8830%
GPU,,AMD,Radeon HD 6700M,373,5.39,1869,-8838%
GPU,,Nvidia,GeForce GT 640M,374,5.38,3527,-8841%
GPU,,Intel,Iris Pro HD 5200 (V1 Mobile 1.15 GHz),375,5.33,1180,-8851%
GPU,,AMD,Radeon HD 5670,376,5.32,16976,-8853%
GPU,,AMD,Radeon HD 7670,377,5.3,3376,-8858%
GPU,,Intel,UHD G1,378,5.2,66002,-8879%
GPU,,AMD,Radeon HD 8670D,379,5.18,6658,-8884%
GPU,,ATI,FirePro V4800 (FireGL V),380,5.17,2319,-8886%
GPU,,Nvidia,Quadro 2000M,381,5.12,3141,-8897%
GPU,,Intel,UHD Graphics 630 (Desktop Coffee Lake i5 i7),382,5.12,138101,-8897%
GPU,,AMD,Radeon HD 7570,383,5.07,12933,-8907%
GPU,,Nvidia,Quadro FX 2800M,384,5.05,1103,-8912%
